iter	Logloss
0	0.6809219768
1	0.6690927025
2	0.6567625585
3	0.6438232097
4	0.6343444076
5	0.6245069339
6	0.6151586828
7	0.6065086564
8	0.5987068634
9	0.5920634595
10	0.5849536422
11	0.5784846583
12	0.5697856459
13	0.563219839
14	0.5563856415
15	0.5522948472
16	0.5472069516
17	0.5417538514
18	0.5367569892
19	0.5330085588
20	0.5275384267
21	0.5229233084
22	0.5188217835
23	0.5140874982
24	0.5098053767
25	0.5064264551
26	0.5037642026
27	0.5004403054
28	0.4963761064
29	0.4940264869
30	0.4902118172
31	0.4880347669
32	0.4861587158
33	0.4834526451
34	0.4810070752
35	0.477945238
36	0.4755138661
37	0.4728109404
38	0.4705948147
39	0.4670996965
40	0.4654634996
41	0.4633140536
42	0.4617024966
43	0.4597109631
44	0.4581897268
45	0.4571619534
46	0.45514856
47	0.4537994757
48	0.4517853259
49	0.4492043439
50	0.4480384327
51	0.4462093716
52	0.444863
53	0.4436758985
54	0.4424221396
55	0.4406942309
56	0.4391592647
57	0.4370737745
58	0.4359842201
59	0.4347790903
60	0.432714266
61	0.4318013847
62	0.4304086652
63	0.4288489329
64	0.4275873796
65	0.4268617476
66	0.4259377749
67	0.4247376256
68	0.4236589244
69	0.4226982416
70	0.4215862524
71	0.4206288194
72	0.4199802764
73	0.4187939392
74	0.4174796504
75	0.4170254666
76	0.4162212155
77	0.4156065445
78	0.4147914219
79	0.4137715239
80	0.4132523136
81	0.4126281768
82	0.4118545403
83	0.411115704
84	0.4106127454
85	0.4093001287
86	0.4082818246
87	0.4073942479
88	0.4068181456
89	0.4061453002
90	0.4055130138
91	0.404142088
92	0.4033957595
93	0.4022275518
94	0.4017134769
95	0.4005747994
96	0.4003511872
97	0.4001448049
98	0.3998277465
99	0.3993985212
100	0.3988692085
101	0.3986672672
102	0.3976872433
103	0.3973237442
104	0.3968716122
105	0.3964425162
106	0.3961318146
107	0.3959519921
108	0.3943711609
109	0.3939896478
110	0.3933271458
111	0.3929344476
112	0.3927065977
113	0.3924552821
114	0.3921834962
115	0.3917624466
116	0.3908906931
117	0.3904582886
118	0.3902446376
119	0.3901262082
120	0.389993434
121	0.3896151331
122	0.3894761208
123	0.3892678001
124	0.3892185868
125	0.3889296383
126	0.3883119587
127	0.3877341053
128	0.3873416509
129	0.3871398265
130	0.3870886324
131	0.3869939082
132	0.3866601647
133	0.386563498
134	0.3863018995
135	0.3862097009
136	0.3855460051
137	0.3851000303
138	0.3849962325
139	0.3849129204
140	0.3847000891
141	0.3845980334
142	0.3845455149
143	0.3845238391
144	0.3843635825
145	0.3842694152
146	0.3841148505
147	0.3839516031
148	0.3838779862
149	0.3838369016
150	0.3835706516
151	0.3835308334
152	0.3833609039
153	0.3829241645
154	0.3828549323
155	0.3826755353
156	0.3825936367
157	0.3825384839
158	0.3824969638
159	0.3821345239
160	0.3813213646
161	0.3810882749
162	0.3809260061
163	0.3808949624
164	0.3806499574
165	0.3805459897
166	0.380505671
167	0.3803521061
168	0.379885966
169	0.3797296971
170	0.3796505901
171	0.3794644964
172	0.3793690945
173	0.37933427
174	0.3793000856
175	0.3792452482
176	0.3791596612
177	0.3789406643
178	0.3788524641
179	0.3788162457
180	0.3786222889
181	0.3784468185
182	0.3783757633
183	0.3773880514
184	0.3773127171
185	0.3772595156
186	0.3771956572
187	0.3771540943
188	0.3771159876
189	0.3770562739
190	0.3769094673
191	0.3768788138
192	0.3767823094
193	0.3767382049
194	0.3766757806
195	0.3766316767
196	0.3765787705
197	0.3765093637
198	0.3764002301
199	0.3762679476
200	0.3759157116
201	0.3758558886
202	0.375709643
203	0.3756594889
204	0.3756125359
205	0.3751287472
206	0.375084583
207	0.375037685
208	0.3750012168
209	0.3749610187
210	0.3745015294
211	0.3744665157
212	0.3743824029
213	0.3743445243
214	0.3739963725
215	0.3739652357
216	0.3738905671
217	0.3737387474
218	0.3736992956
219	0.3736556424
220	0.3736090987
221	0.3735578782
222	0.3735029551
223	0.3734116938
224	0.3732476849
225	0.3732083212
226	0.3731473988
227	0.3730350064
228	0.3729341233
229	0.3728897235
230	0.3728465182
231	0.3726964535
232	0.3726400142
233	0.3725872919
234	0.3725282137
235	0.3724088633
236	0.3723808271
237	0.3723546647
238	0.3722741431
239	0.3721087212
240	0.3720725547
241	0.372030361
242	0.3719438684
243	0.3716769468
244	0.3716494006
245	0.3713603186
246	0.3713313229
247	0.3712351103
248	0.3712071173
249	0.3711762835
250	0.3710232689
251	0.3709911516
252	0.3709547594
253	0.370768247
254	0.3707306277
255	0.3706950393
256	0.3705037243
257	0.3704780601
258	0.3703983045
259	0.3702623979
260	0.3702263477
261	0.3701511583
262	0.3701040135
263	0.3700498517
264	0.370016628
265	0.3698707113
266	0.3698362287
267	0.3694739299
268	0.36943851
269	0.3693871239
270	0.3692777172
271	0.3692481077
272	0.3691851759
273	0.3691558061
274	0.3690962978
275	0.3690283272
276	0.3689709377
277	0.3689026544
278	0.3688645995
279	0.3688082284
280	0.3687903998
281	0.3687678901
282	0.3684178621
283	0.3683449805
284	0.368295937
285	0.3682660666
286	0.3681365137
287	0.368096337
288	0.368062436
289	0.3676832377
290	0.3675167574
291	0.3674653556
292	0.3674328166
293	0.3673936502
294	0.3673153584
295	0.3671978108
296	0.3671577167
297	0.3671259474
298	0.3670568182
299	0.3670299402
300	0.3669756954
301	0.3669051976
302	0.3668478633
303	0.3667934718
304	0.3667354528
305	0.3667143087
306	0.3666712153
307	0.3666353079
308	0.3665932687
309	0.3665402646
310	0.3662185803
311	0.3661902398
312	0.3661570429
313	0.365795943
314	0.3657012108
315	0.365652544
316	0.365597441
317	0.3654643323
318	0.3654204013
319	0.3653774524
320	0.3653364852
321	0.3652928691
322	0.3652492568
323	0.3652017793
324	0.3649443415
325	0.3648987524
326	0.3647248256
327	0.3646873948
328	0.3643997658
329	0.3643608445
330	0.3643311371
331	0.3642887313
332	0.3642609575
333	0.3642246927
334	0.3641294378
335	0.3640675896
336	0.3640350006
337	0.3639303639
338	0.3638836218
339	0.3636983038
340	0.3636654983
341	0.3636182762
342	0.3635657261
343	0.3635038144
344	0.3634654302
345	0.3634500933
346	0.3633913854
347	0.3633197511
348	0.3632753411
349	0.3632067571
350	0.3631032338
351	0.3630625881
352	0.363025997
353	0.3629837846
354	0.362874329
355	0.362822482
356	0.3627658662
357	0.3627002681
358	0.3625674394
359	0.3623384377
360	0.3622920062
361	0.3622541055
362	0.3621949256
363	0.3621484295
364	0.3614957192
365	0.3614540588
366	0.361414004
367	0.3613167233
368	0.3612814967
369	0.3611827609
370	0.3611062759
371	0.36106935
372	0.3610325649
373	0.360984174
374	0.3609425296
375	0.3608982375
376	0.3608500927
377	0.3607903689
378	0.3607540957
379	0.3607285693
380	0.3606762367
381	0.3606373074
382	0.3605855719
383	0.3605376974
384	0.3604967628
385	0.3604498959
386	0.3603934672
387	0.3603378968
388	0.3602911566
389	0.3602219824
390	0.3601361556
391	0.3600955126
392	0.3600528668
393	0.3599613295
394	0.3599096876
395	0.3598696475
396	0.3597794531
397	0.3596884198
398	0.3596221245
399	0.3595753017
400	0.3594888211
401	0.3594074225
402	0.3593557918
403	0.3593056355
404	0.3592237828
405	0.3591680841
406	0.3591059035
407	0.3590316259
408	0.3589338906
409	0.3588852523
410	0.358261924
411	0.3582128186
412	0.3581692481
413	0.3580897209
414	0.3580334325
415	0.3579749748
416	0.3579104133
417	0.3578411604
418	0.3577604373
419	0.3576978084
420	0.3575883701
421	0.3575213125
422	0.3574541125
423	0.3574044866
424	0.3572628856
425	0.3571933469
426	0.3571068309
427	0.3570337484
428	0.3569599624
429	0.3569000317
430	0.3568359566
431	0.3567423885
432	0.3565189232
433	0.3564705358
434	0.3564069779
435	0.3562480131
436	0.3562024044
437	0.3561364518
438	0.3560845387
439	0.356022839
440	0.3559719561
441	0.355908409
442	0.355843237
443	0.3557576638
444	0.3557079584
445	0.3556531976
446	0.3555897263
447	0.3555284987
448	0.3554721323
449	0.3553979072
450	0.3553127753
451	0.3552597376
452	0.3551024439
453	0.3550350804
454	0.3549633062
455	0.3549115951
456	0.3548082828
457	0.3547486297
458	0.3546538846
459	0.3545968797
460	0.354537707
461	0.3544891614
462	0.3543604757
463	0.354304748
464	0.3542160314
465	0.3541314183
466	0.3540156835
467	0.3539559904
468	0.3538998254
469	0.3538133377
470	0.3537392738
471	0.3536469941
472	0.3535224559
473	0.3534690153
474	0.3533710402
475	0.3533184413
476	0.3532615502
477	0.3532085548
478	0.3531103763
479	0.3527279879
480	0.3526727446
481	0.3525790095
482	0.3525296577
483	0.3524743334
484	0.3524192965
485	0.3522933497
486	0.352238465
487	0.3521209962
488	0.3520646703
489	0.3519487962
490	0.3518952335
491	0.3518336126
492	0.3517459104
493	0.3516954416
494	0.3516432823
495	0.3515372385
496	0.3514872508
497	0.3513809695
498	0.3513300168
499	0.3512784228
500	0.3511891197
501	0.3510561877
502	0.351002952
503	0.3509473515
504	0.3508951959
505	0.3508393098
506	0.3507864779
507	0.3507342441
508	0.3506334688
509	0.3505783502
510	0.3505229027
511	0.3504316577
512	0.3503349564
513	0.3502240232
514	0.3501712259
515	0.3500612932
516	0.3500051311
517	0.3499277743
518	0.3496113493
519	0.349536239
520	0.3494849653
521	0.3494119814
522	0.3493600692
523	0.3492190152
524	0.3491663409
525	0.3491159508
526	0.3490344286
527	0.3489413089
528	0.348876473
529	0.3488258803
530	0.3487720435
531	0.3486755092
532	0.3485940155
533	0.3485440697
534	0.3484405429
535	0.3483923654
536	0.3483122342
537	0.3482181512
538	0.3481432805
539	0.3480908469
540	0.3480417397
541	0.3479600479
542	0.3479107852
543	0.3478206799
544	0.3477347348
545	0.3476853146
546	0.3476342433
547	0.347586064
548	0.3475339108
549	0.3473995283
550	0.3473513834
551	0.3473003142
552	0.3472142535
553	0.3471667953
554	0.3471170456
555	0.3470690249
556	0.3469945167
557	0.3469009875
558	0.3468488376
559	0.346801579
560	0.3467510296
561	0.3466573869
562	0.3465894187
563	0.3465169238
564	0.3463730611
565	0.3463267264
566	0.3462008526
567	0.3461514303
568	0.3460871477
569	0.3460382079
570	0.3459468953
571	0.3458224384
572	0.3455698641
573	0.3455208412
574	0.345471735
575	0.3454230682
576	0.3450986129
577	0.3447517847
578	0.3447044059
579	0.344541301
580	0.3444510263
581	0.3444052544
582	0.3443018486
583	0.3442304784
584	0.3441810091
585	0.3439608004
586	0.3438832075
587	0.3437532869
588	0.3436861571
589	0.3435690339
590	0.3435208923
591	0.3434550493
592	0.3434091957
593	0.3433602106
594	0.3432800381
595	0.343176215
596	0.3431251483
597	0.3430806552
598	0.3430096384
599	0.3429632653
600	0.3429188914
601	0.3428724301
602	0.3428014931
603	0.3427529932
604	0.3427071417
605	0.3426393737
606	0.342558041
607	0.3425093782
608	0.3424598756
609	0.3423807216
610	0.3420751779
611	0.3420300475
612	0.3419830246
613	0.3419334789
614	0.3418586589
615	0.3418124055
616	0.3417669511
617	0.3416583972
618	0.3416111436
619	0.3415406899
620	0.3414938748
621	0.3414458126
622	0.3414001223
623	0.3413532672
624	0.3413081354
625	0.3412613217
626	0.3410390806
627	0.3409691533
628	0.3409228582
629	0.3408170409
630	0.3407729512
631	0.3406542218
632	0.3406074832
633	0.3405263958
634	0.3404625677
635	0.340415231
636	0.3403706609
637	0.3403071077
638	0.3402609685
639	0.3401905892
640	0.3401451721
641	0.3399018684
642	0.339855216
643	0.3398115699
644	0.3397389856
645	0.3396924933
646	0.3395756433
647	0.3395226024
648	0.3394780278
649	0.3390966328
650	0.3390519824
651	0.3390074921
652	0.3388745648
653	0.3381949828
654	0.3381289777
655	0.3380828794
656	0.3379409809
657	0.3378933178
658	0.3378040911
659	0.3377582
660	0.3377137952
661	0.3375844354
662	0.3375173111
663	0.3374720991
664	0.3374267662
665	0.337381272
666	0.3373382319
667	0.337251246
668	0.3372075143
669	0.3371661942
670	0.3371204215
671	0.3370765354
672	0.3370330123
673	0.336988487
674	0.3369462029
675	0.3369041622
676	0.3368629257
677	0.3368003365
678	0.3367563687
679	0.3366911826
680	0.3366470109
681	0.3364870616
682	0.3363843076
683	0.3363402142
684	0.3362719322
685	0.3362277786
686	0.3361848557
687	0.3361410082
688	0.336029941
689	0.3358818289
690	0.3358374576
691	0.3357683197
692	0.3357243074
693	0.3356799762
694	0.3356353314
695	0.3355704714
696	0.3355258415
697	0.3354738048
698	0.3354307991
699	0.3353660037
700	0.3353232614
701	0.3352803382
702	0.3352330621
703	0.3351890125
704	0.3351464103
705	0.3351031057
706	0.3348877196
707	0.3348089417
708	0.3347655159
709	0.3346825645
710	0.3346404803
711	0.3345967156
712	0.3345541045
713	0.3344952035
714	0.3344519583
715	0.3344078286
716	0.3343289517
717	0.3342888776
718	0.3341931194
719	0.3341517974
720	0.3340889036
721	0.3339653131
722	0.333922469
723	0.3338801871
724	0.333817166
725	0.333774157
726	0.3337332558
727	0.3336917763
728	0.3336491321
729	0.3336069403
730	0.3335422411
731	0.3335005821
732	0.3334577608
733	0.3334164786
734	0.3333758709
735	0.3333332891
736	0.3332937945
737	0.3332304591
738	0.3331879953
739	0.3331298829
740	0.3330899846
741	0.3330493853
742	0.3330073188
743	0.3329654927
744	0.3329251725
745	0.3328820276
746	0.3327672249
747	0.332721732
748	0.3326423271
749	0.3325128327
750	0.3324718915
751	0.3324142519
752	0.3323727609
753	0.3323314986
754	0.3322895987
755	0.3322442241
756	0.3321282079
757	0.3320275641
758	0.331987345
759	0.3319478072
760	0.3319064786
761	0.3318442093
762	0.3318032418
763	0.3317613933
764	0.3316997246
765	0.3316576444
766	0.3315520392
767	0.3315115378
768	0.331316572
769	0.3312738268
770	0.3311665494
771	0.3311040279
772	0.331062704
773	0.3310214648
774	0.3308966369
775	0.3308555534
776	0.3307718297
777	0.3307333391
778	0.3306937205
779	0.3306499644
780	0.3305893985
781	0.3305486965
782	0.3305074809
783	0.3304684455
784	0.3304312738
785	0.330391878
786	0.3303511395
787	0.3303106626
788	0.3302710454
789	0.3302323492
790	0.3301917899
791	0.3301361012
792	0.3300245707
793	0.3299841671
794	0.3299438834
795	0.3298290284
796	0.3297661736
797	0.3297258725
798	0.3296861534
799	0.3296476358
800	0.3292019641
801	0.3291116691
802	0.3290727517
803	0.328980191
804	0.3289208476
805	0.3288807653
806	0.3288413316
807	0.3288034991
808	0.3287638618
809	0.3286891723
810	0.3285714344
811	0.3283454339
812	0.3283068015
813	0.3282487403
814	0.3281434032
815	0.3281048889
816	0.3279706062
817	0.327930606
818	0.3278906879
819	0.3278348926
820	0.3277968165
821	0.327756938
822	0.3276816838
823	0.3276441715
824	0.3275876624
825	0.3275477669
826	0.3275076103
827	0.3274678961
828	0.3274283369
829	0.3273881591
830	0.3273485807
831	0.3271138262
832	0.3270731247
833	0.3270144475
834	0.3269776345
835	0.3269377522
836	0.3268791775
837	0.3268185116
838	0.3267807165
839	0.3267397898
840	0.3267020995
841	0.326662099
842	0.3266249243
843	0.3265857618
844	0.326547165
845	0.326473762
846	0.3261925822
