iter	Passed	Remaining
401	18060	26865
402	18105	26821
403	18152	26779
404	18199	26737
405	18244	26693
406	18290	26650
407	18336	26606
408	18383	26563
409	18429	26520
410	18475	26477
411	18522	26434
412	18568	26390
413	18615	26348
414	18662	26306
415	18708	26264
416	18753	26218
417	18798	26173
418	18844	26129
419	18890	26086
420	18937	26045
421	18988	26007
422	19034	25964
423	19080	25920
424	19126	25877
425	19172	25833
426	19217	25788
427	19262	25743
428	19307	25698
429	19353	25654
430	19398	25609
431	19443	25564
432	19489	25520
433	19535	25477
434	19582	25434
435	19627	25390
436	19673	25345
437	19718	25300
438	19764	25257
439	19811	25214
440	19855	25168
441	19900	25123
442	19944	25077
443	19993	25036
444	20046	25001
445	20094	24960
446	20139	24915
447	20185	24871
448	20231	24827
449	20277	24783
450	20322	24738
451	20368	24694
452	20413	24649
453	20458	24604
454	20504	24560
455	20549	24515
456	20596	24472
457	20641	24427
458	20688	24383
459	20732	24338
460	20778	24294
461	20824	24250
462	20869	24204
463	20916	24161
464	20961	24117
465	21006	24072
466	21052	24027
467	21098	23984
468	21150	23945
469	21196	23902
470	21241	23857
471	21287	23812
472	21332	23767
473	21377	23723
474	21425	23681
475	21471	23637
476	21519	23594
477	21564	23549
478	21609	23504
479	21655	23459
480	21699	23413
481	21744	23368
482	21789	23323
483	21837	23280
484	21883	23237
485	21929	23193
486	21975	23149
487	22019	23102
488	22065	23058
489	22112	23015
490	22158	22970
491	22202	22924
492	22248	22880
493	22297	22839
494	22343	22794
495	22390	22751
496	22435	22705
497	22480	22661
498	22527	22617
499	22573	22573
500	22619	22528
501	22664	22483
502	22710	22439
503	22755	22394
504	22801	22349
505	22847	22305
506	22893	22261
507	22937	22215
508	22984	22171
509	23028	22125
510	23074	22080
511	23120	22036
512	23165	21991
513	23211	21947
514	23259	21904
515	23311	21866
516	23357	21821
517	23404	21778
518	23451	21734
519	23497	21689
520	23543	21645
521	23588	21599
522	23634	21556
523	23680	21511
524	23726	21467
525	23771	21421
526	23818	21377
527	23863	21332
528	23915	21293
529	23960	21247
530	24006	21203
531	24052	21158
532	24098	21114
533	24143	21068
534	24188	21024
535	24234	20978
536	24279	20933
537	24324	20888
538	24369	20842
539	24414	20797
540	24458	20751
541	24505	20707
542	24549	20661
543	24594	20616
544	24640	20571
545	24685	20526
546	24731	20481
547	24776	20435
548	24821	20391
549	24866	20345
550	24911	20300
551	24955	20253
552	25000	20208
553	25046	20164
554	25093	20120
555	25139	20075
556	25185	20031
557	25233	19988
558	25280	19944
559	25326	19899
560	25371	19854
561	25417	19809
562	25464	19765
563	25514	19723
564	25560	19679
565	25607	19635
566	25651	19589
567	25696	19544
568	25742	19499
569	25788	19454
570	25833	19409
571	25879	19364
572	25925	19319
573	25971	19274
574	26017	19230
575	26062	19185
576	26107	19139
577	26152	19094
578	26197	19048
579	26243	19003
580	26287	18957
581	26332	18912
582	26377	18867
583	26426	18824
584	26477	18783
585	26522	18737
586	26567	18692
587	26612	18647
588	26658	18602
589	26704	18557
590	26749	18512
591	26795	18467
592	26840	18421
593	26886	18376
594	26932	18332
595	26977	18286
596	27023	18241
597	27070	18197
598	27117	18153
599	27165	18110
600	27212	18066
601	27262	18023
602	27308	17979
603	27355	17935
604	27402	17890
605	27448	17845
606	27495	17801
607	27541	17757
608	27587	17712
609	27637	17669
610	27683	17625
611	27729	17580
612	27775	17535
613	27821	17490
614	27866	17444
615	27911	17399
616	27958	17355
617	28004	17310
618	28050	17265
619	28097	17220
620	28143	17175
621	28189	17131
622	28233	17085
623	28280	17040
624	28325	16995
625	28371	16950
626	28417	16905
627	28462	16859
628	28508	16815
629	28555	16770
630	28602	16726
631	28648	16681
632	28693	16636
633	28740	16591
634	28786	16546
635	28831	16500
636	28875	16454
637	28920	16409
638	28967	16364
639	29014	16320
640	29061	16276
641	29108	16231
642	29154	16187
643	29201	16142
644	29247	16097
645	29294	16052
646	29339	16007
647	29385	15962
648	29431	15917
649	29478	15873
650	29523	15827
651	29570	15782
652	29616	15738
653	29663	15693
654	29709	15648
655	29755	15603
656	29805	15560
657	29851	15515
658	29898	15470
659	29943	15425
660	29988	15379
661	30033	15334
662	30079	15289
663	30125	15244
664	30171	15199
665	30216	15153
666	30262	15108
667	30307	15062
668	30352	15017
669	30397	14972
670	30442	14926
671	30487	14880
672	30533	14835
673	30579	14790
674	30625	14745
675	30669	14699
676	30714	14654
677	30760	14608
678	30805	14563
679	30851	14518
680	30896	14472
681	30940	14426
682	30986	14381
683	31031	14336
684	31077	14291
685	31123	14245
686	31168	14200
687	31214	14155
688	31259	14110
689	31306	14065
690	31349	14018
691	31395	13973
692	31441	13928
693	31488	13884
694	31533	13838
695	31578	13793
696	31623	13747
697	31668	13701
698	31715	13657
699	31759	13611
700	31805	13566
701	31850	13520
702	31896	13475
